test_case,iteration,timestamp_utc,latency_seconds,prediction
fake_1,1,57:53.2,0.138626084,FAKE
fake_1,2,57:53.3,0.089882167,FAKE
fake_1,3,57:53.4,0.26827625,FAKE
fake_1,4,57:53.7,0.0940935,FAKE
fake_1,5,57:53.8,0.088817208,FAKE
fake_1,6,57:53.9,0.0937675,FAKE
fake_1,7,57:54.0,0.092863708,FAKE
fake_1,8,57:54.1,0.088738667,FAKE
fake_1,9,57:54.1,0.093510875,FAKE
fake_1,10,57:54.2,0.093496917,FAKE
fake_1,11,57:54.3,0.106289875,FAKE
fake_1,12,57:54.4,0.2610685,FAKE
fake_1,13,57:54.7,0.130972625,FAKE
fake_1,14,57:54.8,0.278504791,FAKE
fake_1,15,57:55.1,0.10120975,FAKE
fake_1,16,57:55.2,0.092942791,FAKE
fake_1,17,57:55.3,0.088118959,FAKE
fake_1,18,57:55.4,0.105129,FAKE
fake_1,19,57:55.5,0.094694833,FAKE
fake_1,20,57:55.6,0.094374042,FAKE
fake_1,21,57:55.7,0.263451166,FAKE
fake_1,22,57:55.9,0.269298792,FAKE
fake_1,23,57:56.2,0.274407292,FAKE
fake_1,24,57:56.5,0.092964583,FAKE
fake_1,25,57:56.6,0.096437375,FAKE
fake_1,26,57:56.7,0.098221041,FAKE
fake_1,27,57:56.8,0.088516459,FAKE
fake_1,28,57:56.9,0.092997083,FAKE
fake_1,29,57:57.0,0.09291625,FAKE
fake_1,30,57:57.1,0.091686125,FAKE
fake_1,31,57:57.1,0.094342542,FAKE
fake_1,32,57:57.2,0.088628458,FAKE
fake_1,33,57:57.3,0.097974084,FAKE
fake_1,34,57:57.4,0.090730625,FAKE
fake_1,35,57:57.5,0.090856917,FAKE
fake_1,36,57:57.6,0.088740583,FAKE
fake_1,37,57:57.7,0.101276916,FAKE
fake_1,38,57:57.8,0.090430792,FAKE
fake_1,39,57:57.9,0.093885917,FAKE
fake_1,40,57:58.0,0.094101625,FAKE
fake_1,41,57:58.1,0.259648417,FAKE
fake_1,42,57:58.3,0.091507542,FAKE
fake_1,43,57:58.4,0.136470625,FAKE
fake_1,44,57:58.6,0.099229917,FAKE
fake_1,45,57:58.7,0.095083375,FAKE
fake_1,46,57:58.8,0.268721042,FAKE
fake_1,47,57:59.0,0.097427875,FAKE
fake_1,48,57:59.1,0.091927958,FAKE
fake_1,49,57:59.2,0.091541791,FAKE
fake_1,50,57:59.3,0.094365125,FAKE
fake_1,51,57:59.4,0.094669625,FAKE
fake_1,52,57:59.5,0.098086125,FAKE
fake_1,53,57:59.6,0.098452166,FAKE
fake_1,54,57:59.7,0.088487667,FAKE
fake_1,55,57:59.8,0.096789208,FAKE
fake_1,56,57:59.9,0.107899083,FAKE
fake_1,57,58:00.0,0.093711084,FAKE
fake_1,58,58:00.1,0.098260125,FAKE
fake_1,59,58:00.2,0.090254125,FAKE
fake_1,60,58:00.3,0.09584325,FAKE
fake_1,61,58:00.4,0.092389375,FAKE
fake_1,62,58:00.5,0.087101458,FAKE
fake_1,63,58:00.5,0.443054,FAKE
fake_1,64,58:01.0,0.105602958,FAKE
fake_1,65,58:01.1,0.111736166,FAKE
fake_1,66,58:01.2,1.248666084,FAKE
fake_1,67,58:02.5,0.092222625,FAKE
fake_1,68,58:02.5,0.431583958,FAKE
fake_1,69,58:03.0,0.480731167,FAKE
fake_1,70,58:03.5,0.095659958,FAKE
fake_1,71,58:03.6,0.431217916,FAKE
fake_1,72,58:04.0,0.084668833,FAKE
fake_1,73,58:04.1,0.2883125,FAKE
fake_1,74,58:04.4,0.092389666,FAKE
fake_1,75,58:04.5,0.204728208,FAKE
fake_1,76,58:04.7,0.275016334,FAKE
fake_1,77,58:04.9,0.118539708,FAKE
fake_1,78,58:05.1,0.135594667,FAKE
fake_1,79,58:05.2,0.085180917,FAKE
fake_1,80,58:05.3,0.092607334,FAKE
fake_1,81,58:05.4,0.095259875,FAKE
fake_1,82,58:05.5,0.111537792,FAKE
fake_1,83,58:05.6,0.100679667,FAKE
fake_1,84,58:05.7,0.219709583,FAKE
fake_1,85,58:05.9,0.210859167,FAKE
fake_1,86,58:06.1,0.098052083,FAKE
fake_1,87,58:06.2,0.094185792,FAKE
fake_1,88,58:06.3,0.092957458,FAKE
fake_1,89,58:06.4,0.090754416,FAKE
fake_1,90,58:06.5,0.1063025,FAKE
fake_1,91,58:06.6,0.097512208,FAKE
fake_1,92,58:06.7,0.272510875,FAKE
fake_1,93,58:07.0,0.098969875,FAKE
fake_1,94,58:07.1,0.085396708,FAKE
fake_1,95,58:07.1,0.092965958,FAKE
fake_1,96,58:07.2,0.090069542,FAKE
fake_1,97,58:07.3,0.097730166,FAKE
fake_1,98,58:07.4,0.131191791,FAKE
fake_1,99,58:07.6,0.128311625,FAKE
fake_1,100,58:07.7,0.099137125,FAKE
fake_2,1,58:07.8,0.099979375,REAL
fake_2,2,58:07.9,0.091287542,REAL
fake_2,3,58:08.0,0.091613166,REAL
fake_2,4,58:08.1,0.08803725,REAL
fake_2,5,58:08.2,0.097631875,REAL
fake_2,6,58:08.3,0.089098667,REAL
fake_2,7,58:08.3,0.246119958,REAL
fake_2,8,58:08.6,0.247372,REAL
fake_2,9,58:08.8,0.086904625,REAL
fake_2,10,58:08.9,0.0895485,REAL
fake_2,11,58:09.0,0.086348708,REAL
fake_2,12,58:09.1,0.098175666,REAL
fake_2,13,58:09.2,0.086363791,REAL
fake_2,14,58:09.3,0.259946125,REAL
fake_2,15,58:09.5,0.091071166,REAL
fake_2,16,58:09.6,0.089591958,REAL
fake_2,17,58:09.7,0.098028792,REAL
fake_2,18,58:09.8,0.095675583,REAL
fake_2,19,58:09.9,0.085192792,REAL
fake_2,20,58:10.0,0.093646959,REAL
fake_2,21,58:10.1,0.117805541,REAL
fake_2,22,58:10.2,0.274854166,REAL
fake_2,23,58:10.5,0.2732005,REAL
fake_2,24,58:10.8,0.094234958,REAL
fake_2,25,58:10.9,0.091769333,REAL
fake_2,26,58:10.9,0.087881333,REAL
fake_2,27,58:11.0,0.13500875,REAL
fake_2,28,58:11.2,0.098976708,REAL
fake_2,29,58:11.3,0.088598459,REAL
fake_2,30,58:11.4,0.095826709,REAL
fake_2,31,58:11.5,0.10086975,REAL
fake_2,32,58:11.6,0.100181666,REAL
fake_2,33,58:11.7,0.095786625,REAL
fake_2,34,58:11.8,0.092886917,REAL
fake_2,35,58:11.8,0.09464375,REAL
fake_2,36,58:11.9,0.09492325,REAL
fake_2,37,58:12.0,0.094702,REAL
fake_2,38,58:12.1,0.090068333,REAL
fake_2,39,58:12.2,0.095021833,REAL
fake_2,40,58:12.3,0.086388791,REAL
fake_2,41,58:12.4,0.086743834,REAL
fake_2,42,58:12.5,0.08629025,REAL
fake_2,43,58:12.6,0.096258833,REAL
fake_2,44,58:12.7,0.092659375,REAL
fake_2,45,58:12.8,0.115501583,REAL
fake_2,46,58:12.9,0.094715625,REAL
fake_2,47,58:13.0,0.096473375,REAL
fake_2,48,58:13.1,0.092081167,REAL
fake_2,49,58:13.2,0.265944041,REAL
fake_2,50,58:13.4,0.093884542,REAL
fake_2,51,58:13.5,0.264211334,REAL
fake_2,52,58:13.8,0.09460975,REAL
fake_2,53,58:13.9,0.0984725,REAL
fake_2,54,58:14.0,0.09350425,REAL
fake_2,55,58:14.1,0.267238042,REAL
fake_2,56,58:14.3,0.086256125,REAL
fake_2,57,58:14.4,0.286158791,REAL
fake_2,58,58:14.7,0.093668958,REAL
fake_2,59,58:14.8,0.090945583,REAL
fake_2,60,58:14.9,0.088238625,REAL
fake_2,61,58:15.0,0.09087025,REAL
fake_2,62,58:15.1,0.088256666,REAL
fake_2,63,58:15.2,0.096586458,REAL
fake_2,64,58:15.3,0.086022833,REAL
fake_2,65,58:15.4,0.092368792,REAL
fake_2,66,58:15.4,0.26997525,REAL
fake_2,67,58:15.7,0.2764685,REAL
fake_2,68,58:16.0,0.091437625,REAL
fake_2,69,58:16.1,0.097724459,REAL
fake_2,70,58:16.2,0.095908,REAL
fake_2,71,58:16.3,0.095770791,REAL
fake_2,72,58:16.4,0.101888583,REAL
fake_2,73,58:16.5,0.103963,REAL
fake_2,74,58:16.6,0.077981083,REAL
fake_2,75,58:16.7,0.094858291,REAL
fake_2,76,58:16.8,0.099579875,REAL
fake_2,77,58:16.9,0.10401675,REAL
fake_2,78,58:17.0,0.086722125,REAL
fake_2,79,58:17.0,0.081080042,REAL
fake_2,80,58:17.1,0.088828167,REAL
fake_2,81,58:17.2,0.0950695,REAL
fake_2,82,58:17.3,0.097399625,REAL
fake_2,83,58:17.4,0.093336667,REAL
fake_2,84,58:17.5,0.262228875,REAL
fake_2,85,58:17.8,0.101694,REAL
fake_2,86,58:17.9,0.087239958,REAL
fake_2,87,58:17.9,0.096567375,REAL
fake_2,88,58:18.0,0.09776125,REAL
fake_2,89,58:18.1,0.093353417,REAL
fake_2,90,58:18.2,0.097653,REAL
fake_2,91,58:18.3,0.103997958,REAL
fake_2,92,58:18.4,0.098564083,REAL
fake_2,93,58:18.5,0.099756917,REAL
fake_2,94,58:18.6,0.100237083,REAL
fake_2,95,58:18.7,0.103157708,REAL
fake_2,96,58:18.8,0.095983458,REAL
fake_2,97,58:18.9,0.091409292,REAL
fake_2,98,58:19.0,0.2813875,REAL
fake_2,99,58:19.3,0.101000875,REAL
fake_2,100,58:19.4,0.274107,REAL
real_1,1,58:19.7,0.094184791,REAL
real_1,2,58:19.8,0.088405208,REAL
real_1,3,58:19.9,0.09503225,REAL
real_1,4,58:20.0,0.088755167,REAL
real_1,5,58:20.1,0.25852925,REAL
real_1,6,58:20.3,0.08969375,REAL
real_1,7,58:20.4,0.0982665,REAL
real_1,8,58:20.5,0.105785417,REAL
real_1,9,58:20.6,0.094746667,REAL
real_1,10,58:20.7,0.095919791,REAL
real_1,11,58:20.8,0.091103959,REAL
real_1,12,58:20.9,0.089682541,REAL
real_1,13,58:21.0,0.099492,REAL
real_1,14,58:21.1,0.102626708,REAL
real_1,15,58:21.2,0.092958417,REAL
real_1,16,58:21.3,0.088579209,REAL
real_1,17,58:21.4,0.090238167,REAL
real_1,18,58:21.5,0.08793725,REAL
real_1,19,58:21.5,0.284582834,REAL
real_1,20,58:21.8,0.095299417,REAL
real_1,21,58:21.9,0.0965165,REAL
real_1,22,58:22.0,0.089436458,REAL
real_1,23,58:22.1,0.086936459,REAL
real_1,24,58:22.2,0.087214583,REAL
real_1,25,58:22.3,0.097510083,REAL
real_1,26,58:22.4,0.093557541,REAL
real_1,27,58:22.5,0.092353375,REAL
real_1,28,58:22.6,0.095337625,REAL
real_1,29,58:22.7,0.095431875,REAL
real_1,30,58:22.8,0.100576,REAL
real_1,31,58:22.9,0.097032958,REAL
real_1,32,58:23.0,0.097881292,REAL
real_1,33,58:23.0,0.09794825,REAL
real_1,34,58:23.1,0.089997583,REAL
real_1,35,58:23.2,0.097789875,REAL
real_1,36,58:23.3,0.090082875,REAL
real_1,37,58:23.4,0.097541792,REAL
real_1,38,58:23.5,0.103770084,REAL
real_1,39,58:23.6,0.093657542,REAL
real_1,40,58:23.7,0.094300792,REAL
real_1,41,58:23.8,0.09027025,REAL
real_1,42,58:23.9,0.104611,REAL
real_1,43,58:24.0,0.09052325,REAL
real_1,44,58:24.1,0.089214125,REAL
real_1,45,58:24.2,0.100864375,REAL
real_1,46,58:24.3,0.097068375,REAL
real_1,47,58:24.4,0.102213875,REAL
real_1,48,58:24.5,0.09583275,REAL
real_1,49,58:24.6,0.093203125,REAL
real_1,50,58:24.7,0.099600709,REAL
real_1,51,58:24.8,0.091385041,REAL
real_1,52,58:24.9,0.099304125,REAL
real_1,53,58:25.0,0.085753625,REAL
real_1,54,58:25.1,0.09331175,REAL
real_1,55,58:25.1,0.089605166,REAL
real_1,56,58:25.2,0.280442583,REAL
real_1,57,58:25.5,0.092544792,REAL
real_1,58,58:25.6,0.103568958,REAL
real_1,59,58:25.7,0.092366917,REAL
real_1,60,58:25.8,0.098252042,REAL
real_1,61,58:25.9,0.091600208,REAL
real_1,62,58:26.0,0.085024083,REAL
real_1,63,58:26.1,0.0899455,REAL
real_1,64,58:26.2,0.08272825,REAL
real_1,65,58:26.3,0.085996875,REAL
real_1,66,58:26.3,0.09390025,REAL
real_1,67,58:26.4,0.091428667,REAL
real_1,68,58:26.5,0.090633083,REAL
real_1,69,58:26.6,0.08617675,REAL
real_1,70,58:26.7,0.264028834,REAL
real_1,71,58:27.0,0.097161875,REAL
real_1,72,58:27.1,0.093229583,REAL
real_1,73,58:27.2,0.09150875,REAL
real_1,74,58:27.3,0.083335833,REAL
real_1,75,58:27.3,0.269278917,REAL
real_1,76,58:27.6,0.094531916,REAL
real_1,77,58:27.7,0.092904958,REAL
real_1,78,58:27.8,0.092031916,REAL
real_1,79,58:27.9,0.090785917,REAL
real_1,80,58:28.0,0.093789708,REAL
real_1,81,58:28.1,0.28038175,REAL
real_1,82,58:28.4,0.09390525,REAL
real_1,83,58:28.4,0.095043958,REAL
real_1,84,58:28.5,0.097649084,REAL
real_1,85,58:28.6,0.094928834,REAL
real_1,86,58:28.7,0.090695334,REAL
real_1,87,58:28.8,0.091160292,REAL
real_1,88,58:28.9,0.089790958,REAL
real_1,89,58:29.0,0.088595875,REAL
real_1,90,58:29.1,0.095706708,REAL
real_1,91,58:29.2,0.26697875,REAL
real_1,92,58:29.5,0.093227334,REAL
real_1,93,58:29.5,0.092241125,REAL
real_1,94,58:29.6,0.093440583,REAL
real_1,95,58:29.7,0.097815083,REAL
real_1,96,58:29.8,0.089850791,REAL
real_1,97,58:29.9,0.097690916,REAL
real_1,98,58:30.0,0.085150709,REAL
real_1,99,58:30.1,0.091178375,REAL
real_1,100,58:30.2,0.090768333,REAL
real_2,1,58:30.3,0.09715975,FAKE
real_2,2,58:30.4,0.095770667,FAKE
real_2,3,58:30.5,0.094129958,FAKE
real_2,4,58:30.6,0.0879855,FAKE
real_2,5,58:30.7,0.086105875,FAKE
real_2,6,58:30.7,0.091962041,FAKE
real_2,7,58:30.8,0.087139875,FAKE
real_2,8,58:30.9,0.09540625,FAKE
real_2,9,58:31.0,0.087805167,FAKE
real_2,10,58:31.1,0.092206625,FAKE
real_2,11,58:31.2,0.086637041,FAKE
real_2,12,58:31.3,0.089141,FAKE
real_2,13,58:31.4,0.094043458,FAKE
real_2,14,58:31.5,0.091774417,FAKE
real_2,15,58:31.6,0.08910425,FAKE
real_2,16,58:31.7,0.086355916,FAKE
real_2,17,58:31.7,0.098196125,FAKE
real_2,18,58:31.8,0.091890083,FAKE
real_2,19,58:31.9,0.2668095,FAKE
real_2,20,58:32.2,0.091178417,FAKE
real_2,21,58:32.3,0.097883458,FAKE
real_2,22,58:32.4,0.271136083,FAKE
real_2,23,58:32.7,0.104349125,FAKE
real_2,24,58:32.8,0.092133291,FAKE
real_2,25,58:32.9,0.094273958,FAKE
real_2,26,58:33.0,0.0921445,FAKE
real_2,27,58:33.0,0.094176708,FAKE
real_2,28,58:33.1,0.096235459,FAKE
real_2,29,58:33.2,0.088774625,FAKE
real_2,30,58:33.3,0.088731666,FAKE
real_2,31,58:33.4,0.269634875,FAKE
real_2,32,58:33.7,0.092214625,FAKE
real_2,33,58:33.8,0.103673125,FAKE
real_2,34,58:33.9,0.089194375,FAKE
real_2,35,58:34.0,0.092739709,FAKE
real_2,36,58:34.1,0.095461583,FAKE
real_2,37,58:34.2,0.093320708,FAKE
real_2,38,58:34.2,0.090517041,FAKE
real_2,39,58:34.3,0.095095208,FAKE
real_2,40,58:34.4,0.099186584,FAKE
real_2,41,58:34.5,0.086930667,FAKE
real_2,42,58:34.6,0.100250875,FAKE
real_2,43,58:34.7,0.094597375,FAKE
real_2,44,58:34.8,0.08885825,FAKE
real_2,45,58:34.9,0.262274291,FAKE
real_2,46,58:35.2,0.272844334,FAKE
real_2,47,58:35.4,0.09202675,FAKE
real_2,48,58:35.5,0.08642,FAKE
real_2,49,58:35.6,0.265939167,FAKE
real_2,50,58:35.9,0.091579792,FAKE
real_2,51,58:36.0,0.084524459,FAKE
real_2,52,58:36.1,0.093110167,FAKE
real_2,53,58:36.2,0.091821208,FAKE
real_2,54,58:36.2,0.089976667,FAKE
real_2,55,58:36.3,0.097464666,FAKE
real_2,56,58:36.4,0.095733375,FAKE
real_2,57,58:36.5,0.091110417,FAKE
real_2,58,58:36.6,0.087784459,FAKE
real_2,59,58:36.7,0.097879125,FAKE
real_2,60,58:36.8,0.264174083,FAKE
real_2,61,58:37.1,0.088240958,FAKE
real_2,62,58:37.2,0.089406125,FAKE
real_2,63,58:37.3,0.091396,FAKE
real_2,64,58:37.3,0.088284708,FAKE
real_2,65,58:37.4,0.088782417,FAKE
real_2,66,58:37.5,0.085634625,FAKE
real_2,67,58:37.6,0.09672975,FAKE
real_2,68,58:37.7,0.094584209,FAKE
real_2,69,58:37.8,0.094469334,FAKE
real_2,70,58:37.9,0.264849916,FAKE
real_2,71,58:38.2,0.089089416,FAKE
real_2,72,58:38.2,0.267722667,FAKE
real_2,73,58:38.5,0.272513125,FAKE
real_2,74,58:38.8,0.092267959,FAKE
real_2,75,58:38.9,0.083632875,FAKE
real_2,76,58:39.0,0.091497792,FAKE
real_2,77,58:39.1,0.094324292,FAKE
real_2,78,58:39.1,0.091822208,FAKE
real_2,79,58:39.2,0.0903435,FAKE
real_2,80,58:39.3,0.091992708,FAKE
real_2,81,58:39.4,0.10095475,FAKE
real_2,82,58:39.5,0.095066541,FAKE
real_2,83,58:39.6,0.10253425,FAKE
real_2,84,58:39.7,0.088552583,FAKE
real_2,85,58:39.8,0.277049584,FAKE
real_2,86,58:40.1,0.103160417,FAKE
real_2,87,58:40.2,0.093618916,FAKE
real_2,88,58:40.3,0.095048792,FAKE
real_2,89,58:40.4,0.092264375,FAKE
real_2,90,58:40.5,0.086633583,FAKE
real_2,91,58:40.6,0.260664458,FAKE
real_2,92,58:40.8,0.091813458,FAKE
real_2,93,58:40.9,0.095447667,FAKE
real_2,94,58:41.0,0.098415541,FAKE
real_2,95,58:41.1,0.092377792,FAKE
real_2,96,58:41.2,0.095555042,FAKE
real_2,97,58:41.3,0.277046542,FAKE
real_2,98,58:41.6,0.265731792,FAKE
real_2,99,58:41.8,0.087223667,FAKE
real_2,100,58:41.9,0.0899135,FAKE